ID,Task,Status,Owner,Priority,Blocked on,Effort,What / why,Evidence
CQ-001,"Five non-functional ""coming soon"" auth buttons — a textbook Apple 2.1 rejection",Done 19 Aug,App dev,P0,nothing - can be done now,30 min to hide them,All five gated behind AppConfig.showAuthAlternatives (default off) rather than deleted. 4 tests mount the real screens.,"`grep -rn ""showComingSoon"" lib/` returns exactly five call sites plus the definition: auth_landing_screen.dart:236 ('Google sign-in'), login_screen.dart:225 ('Google sign-in'), phone_continue_screen.dart:39 ('Phone OTP', inside `_continue()` after `_formKey.currentState!.validate()` passes a 10-digi"
CQ-002,"iOS home-screen name is still the scaffold placeholder ""Cq Mobile""",Done 19 Aug,App dev,P0,nothing - can be done now,5 min,"Info.plist CFBundleDisplayName/CFBundleName now ""Career Queue"", matching the Android label.","Verified by `cat -n ios/Runner/Info.plist`: line 9-10 `<key>CFBundleDisplayName</key><string>Cq Mobile</string>`, line 17-18 `<key>CFBundleName</key><string>cq_mobile</string>`. `grep -n android:label android/app/src/main/AndroidManifest.xml` → `13:        android:label=""Career Queue""`. Template con"
CQ-003,file_picker links the photo-library APIs but Info.plist has no usage-description strings at all,Done 19 Aug,App dev,P0,nothing - can be done now,20 min,"NSPhotoLibraryUsageDescription + NSAppleMusicUsageDescription added, worded truthfully for a reviewer. Verified the imports really are unguarded in FilePickerPlugin.h.","`grep -n ""UsageDescription"" ios/Runner/Info.plist` → exit 1, no matches (the plist is 71 lines and I read all of it). Pub cache file_picker-11.0.3/ios/file_picker.podspec:24-27 — `if !Pod.const_defined?(:PICKER_MEDIA) || PICKER_MEDIA ... s.dependency 'DKImagePickerController/PhotoGallery'`, so media"
CQ-004,"Editing a project or a language deletes the row first, then creates — any failure loses the data permanently",Done 19 Aug,App dev,P0,nothing - can be done now,1–2 h,"replace() takes the original and restores it if the create fails; explicit message if the restore also fails. 7 tests, mutation-checked.","cq-mobile/lib/features/projects/data/projects_repository.dart:61-65 — `Future<ProjectItem> replace(int id, Map<String, dynamic> body) async { await remove(id); return create(body); }` under the comment ""Edit = delete the old row then create a fresh one (no PATCH on the API)"". Identical body at cq-mo"
CQ-005,"No prepared inputs for Play Data Safety, Apple privacy labels, or the content-rating questionnaire",Open,App dev,P1,nothing - can be done now,half a day,"CONFIRMED as a real gap, but I am CORRECTING the classification from 'owner' to 'app-independent'. The deliverable named here is prepared INPUTS — a written inventory mapping each collected field to its Play Data Safety category and Apple nutrition-label bucket, plus draft answers to the UGC/age questions. That inventory is derived entirely from code the app dev already owns (candidate_profile.dart, resume_section.dart, the Dio repositories) and can be written tonight on Windows with no keystore, URL, account or endpoint. Only the final keystroke — entering it into the two Consoles — needs the owner's accounts, and no one can do that step until the accounts exist anyway. This is the second i","Collection surface confirmed in code: lib/features/onboarding/data/candidate_profile.dart:26-53 declares name, phone, workStatus, lookingFor, experienceMonths, currentSalaryPaise, currentCompanyName, currentTitle, currentCityName, noticePeriodDays, headline, expectedSalaryMinPaise/MaxPaise, gender ("
CQ-006,"The only hosted copy of the app carries 2 of 19 tests and no workflow, and ci.yml would not run there as written",Open,App dev,P1,nothing - can be done now,1 hour,"Every sub-claim confirmed, and the fix is bigger than the first auditor said. The mirror is genuinely stale (2026-08-15, 118 lib .dart files vs 129 now, exactly 2 test files), ci.yml really does trigger only on [main, master, develop] with no `working-directory`, and there is no `.github` anywhere in the mirror. Correction the owner needs: the first auditor checked for `.github` only inside `cq-mobile/`, but I also checked the branch ROOT and the jobportal develop root — the whole monorepo has zero GitHub Actions workflows (`git ls-tree -r origin/develop | grep .github/` → no matches). GitHub only reads workflows from `.github/workflows/` at the repository root, so dropping ci.yml into `cq-m","`git ls-tree --name-only origin/app/cq-mobile:cq-mobile/test` → auth_validators_test.dart, external_link_test.dart only. `git ls-tree --name-only origin/app/cq-mobile` (branch root) → no `.github` entry. `git ls-tree -r --name-only origin/develop | grep -i '\.github/'` → no matches (monorepo has no "
CQ-007,"Login, registration and password reset have zero test coverage",Open,App dev,P1,nothing - can be done now,half a day,"Confirmed. `grep -l auth_repository test/*.dart` returns only test/session_probe_test.dart, and every call in that file is `repo.probeSession()` — login(), register() and the 3-step OTP reset are exercised by nothing. `_userFrom` and the status→message map are exactly where the auditor said. Severity downgraded from ship-blocker to important: I cross-checked the envelope against the live backend and `apps/api/src/auth/auth.controller.ts:147` returns `{ user: publicUser(result.user) }`, which is precisely what `_userFrom` parses, so the catastrophic scenario the auditor invoked ('if the server ever returns the user at the top level, EVERY login throws') is hypothetical, not a present defect —","lib/features/auth/data/auth_repository.dart:36-49 (login), :51-70 (register), :208-212 (`_userFrom` throwing `AuthException('Unexpected response from the server.')`), :214-236 (`_messageFor`: 401/409/400/429). lib/features/auth/application/auth_controller.dart:169 `state = AuthAuthenticated(user, ju"
CQ-008,The apply flow's error branches are untested — only its happy-path URL is pinned,Open,App dev,P1,nothing - can be done now,2-3 hours,"Confirmed line by line. The apply test at test/jobs_repository_contract_test.dart:80-86 asserts path `/me/applications` and body `{jobId: 7}` and nothing else, and all five error branches in JobsRepository.apply() are unreached by any test — including the quota-vs-throttle discrimination, which really does hinge on a single expression. The interceptor in that same file resolves every request with a 200, so it structurally cannot reach an error branch. Severity trimmed to important on the same basis as the auth finding: the branch logic reads correctly today, so this is uncovered risk rather than a live defect. app-independent stands — the _Recorder pattern already in the file only needs a va","lib/features/jobs/data/jobs_repository.dart:114-155, with the tell at :144 `final isQuota = data is Map && data['limit'] is num;` and branches for RESUME_REQUIRED (:122), RESUME_SCANNING (:128), 409 (:134), 403 (:137), 429 (:140). Only apply test: test/jobs_repository_contract_test.dart:80-86."
CQ-009,The router's auth redirect — the gate between signed-out users and the app — has no test,Open,App dev,P1,nothing - can be done now,2-3 hours,"Confirmed. `grep -ln 'app_router' test/*.dart` returns nothing, and app_router.dart does not appear in the full list of package imports across the suite (I dumped `grep -ho 'package:cq_mobile/[^']*' test/*.dart | sort -u` — 29 imports, no core/router). The redirect switch is exactly the three-way gate described. app-independent confirmed and it is genuinely cheap: the redirect is pure logic over a ProviderContainer with authControllerProvider overridden, no device, no network, no account.","lib/core/router/app_router.dart:87-105 (the `switch (auth)` returning splash / welcome / onboarding-or-home) and :67-73 (`static const authPaths`). Test-import dump contains core/format, core/network, core/state, core/theme and feature paths but no core/router."
CQ-010,JobFilters — all of search filtering and the alert built from it — is completely untested,Open,App dev,P1,nothing - can be done now,3-4 hours,"Confirmed including the subtle part. job_filters.dart is imported by no test. `active` really does compare `x.id != s.id` (lines 116-133) while CatalogItem's `==` is deliberately slug-first with an id-only fallback (catalog_models.dart:37-45), and route-seeded facets really are built with `id: 0` (job_search_screen.dart:96) with the invariant carried only in a comment. test/catalog_item_test.dart pins the slug-first equality but never touches JobFilters.active, so the id-comparison path is untested. The auditor's point about the weak existing assertion is right: test/jobs_repository_contract_test.dart:89-94 calls `repo.search(q: 'dev')` with no filters at all and asserts only `listFormat`, s","lib/features/jobs/data/job_filters.dart:116-133 (`x.id != s.id` inside `active`), :170-179 (toAlertQuery: `* 12`, `.take(20)`, `.take(10)`, `* 10000000`), :189-199 (toQuery param names skill/city/industry/emp/mode/expMin/expMax/salaryMin/postedWithin). lib/features/catalogs/data/catalog_models.dart:"
